-0.82,;0.33
3.78,;1.22,;3.36
0.46,;-0.83,;0.33
3.36,;0.61,;3.05
0.46,;-0.82,;0.33
2.69,;0.37,;2.01
0.46,;-0.83,;0.34
3.05,;-0.43,;2.62
0.46,;-0.85,;0.35
3.42,;0.73,;4.21
0.46,;-0.83,;0.34
3.54,;2.20,;6.35
0.46,;-0.82,;0.34
4.27,;-0.61,;2.75
0.46,;-0.83,;0.33
3.17,;2.38,;3.54
0.47,;-0.82,;0.33
2.99,;0.85,;2.62
0.46,;-0.83,;0.34
2.81,;0.43,;3.48
0.46,;-0.82,;0.33
3.54,;1.71,;3.17
0.46,;-0.83,;0.33
3.48,;0.73,;2.93
0.46,;-0.82,;0.33
3.30,;-0.06,;3.91
0.46,;-0.82,;0.33
3.66,;1.16,;4.03
0.46,;-0.83,;0.33
3.54,;1.22,;3.11
0.46,;-0.82,;0.33
2.69,;0.79,;3.60
0.46,;-0.82,;0.33
2.87,;0.24,;2.44
0.46,;-0.82,;0.34
2.87,;1.40,;2.99
0.47,;-0.81,;0.34
3.05,;1.65,;0.85
0.46,;-0.82,;0.34
4.09,;2.14,;-1.59
0.43,;-0.84,;0.32
4.88,;0.06,;-0.92
0.44,;-0.84,;0.33
4.03,;-0.67,;3.72
0.45,;-0.84,;0.34
4.70,;-1.34,;7.14
0.44,;-0.83,;0.33
4.27,;-0.12,;7.51
0.46,;-0.83,;0.33
3.11,;2.32,;5.68
0.47,;-0.83,;0.33
2.38,;1.59,;4.94
0.46,;-0.83,;0.34
1.16,;1.77,;6.96
0.47,;-0.82,;0.33
2.44,;4.82,;6.90
0.47,;-0.82,;0.33
1.95,;2.32,;3.36
0.47,;-0.82,;0.33
1.04,;2.50,;3.60
0.47,;-0.81,;0.33
2.26,;2.32,;3.54
0.46,;-0.83,;0.33
3.72,;0.61,;5.55
0.48,;-0.81,;0.33
3.42,;1.83,;5.98
0.48,;-0.82,;0.34
2.75,;0.67,;4.94
0.48,;-0.81,;0.33
2.38,;1.95,;5.43
0.49,;-0.81,;0.33
2.81,;0.49,;1.95
0.48,;-0.81,;0.33
2.62,;1.89,;1.34
0.47,;-0.81,;0.33
3.36,;1.83,;-0.67
0.46,;-0.83,;0.33
4.09,;-0.67,;1.65
0.47,;-0.81,;0.34
3.91,;-0.61,;4.46
0.47,;-0.82,;0.33
5.00,;-1.04,;2.99
0.47,;-0.82,;0.33
4.52,;0.06,;2.69
0.47,;-0.82,;0.33
3.54,;-0.49,;2.62
0.47,;-0.82,;0.33
3.54,;0.18,;2.62
0.46,;-0.82,;0.33
3.72,;0.79,;2.81
0.47,;-0.83,;0.33
3.48,;1.34,;3.48
0.47,;-0.82,;0.33
2.69,;-0.06,;4.52
0.47,;-0.82,;0.33
3.17,;2.20,;3.78
0.47,;-0.82,;0.33
3.60,;1.22,;3.30
0.47,;-0.82,;0.33
2.44,;0.67,;3.48
0.47,;-0.82,;0.33
2.87,;1.71,;4.03
0.48,;-0.81,;0.33
2.62,;2.08,;3.42
0.47,;-0.83,;0.33
2.44,;1.04,;1.71
0.47,;-0.82,;0.33
1.83,;1.22,;2.87
0.46,;-0.82,;0.33
2.99,;0.43,;2.38
0.50,;-0.83,;0.33
2.75,;1.28,;4.03
0.47,;-0.82,;0.33
3.05,;-15.32,;3.60
0.47,;-0.82,;0.33
2.93,;0.92,;3.30
0.47,;-0.82,;0.34
2.75,;0.98,;3.11
0.47,;-0.82,;0.33
3.60,;1.59,;2.99
0.47,;-0.82,;0.34
3.54,;0.73,;1.28
0.47,;-0.82,;0.33
2.20,;2.01,;-0.12
0.47,;-0.82,;0.33
2.44,;0.37,;0.43
0.46,;-0.83,;0.34
3.42,;-1.16,;1.95
0.45,;-0.83,;0.33
4.94,;-0.31,;3.30
0.46,;-0.82,;0.34
3.54,;0.49,;4.03
0.46,;-0.82,;0.33
3.54,;0.67,;2.69
0.46,;-0.83,;0.33
3.30,;1.40,;2.32
0.45,;-0.83,;0.34
2.93,;0.79,;3.48
0.46,;-0.82,;0.33
3.23,;2.01,;4.15
0.46,;-0.83,;0.33
3.42,;0.43,;3.85
0.46,;-0.83,;0.33
3.48,;0.37,;5.00
0.46,;-0.82,;0.33
3.78,;1.22,;4.64
0.47,;-0.82,;0.33
3.23,;1.46,;3.85
0.47,;-0.82,;0.33
2.01,;0.98,;3.42
0.46,;-0.82,;0.33
3.30,;2.14,;2.26
0.46,;-0.83,;0.33
3.23,;0.92,;2.44
0.46,;-0.83,;0.33
3.05,;-0.24,;4.46
0.46,;-0.82,;0.33
3.72,;0.12,;4.33
0.47,;-0.82,;0.33
4.21,;0.73,;4.09
0.47,;-0.82,;0.33
3.05,;0.18,;2.62
0.47,;-0.82,;0.33
1.77,;0.67,;3.11
0.46,;-0.82,;0.33
3.30,;1.10,;2.38
0.46,;-0.83,;0.33
2.75,;1.10,;3.05
0.47,;-0.82,;0.33
2.81,;1.04,;3.23
0.46,;-0.82,;0.33
3.48,;0.31,;3.23
0.46,;-0.83,;0.33
3.91,;1.46,;3.11
0.46,;-0.83,;0.33
3.66,;0.92,;2.62
0.46,;-0.83,;0.33
2.87,;0.18,;4.03
0.47,;-0.82,;0.33
3.91,;0.92,;4.27
0.46,;-0.82,;0.33
3.17,;0.67,;3.91
0.47,;-0.82,;0.33
2.87,;1.71,;2.87
0.46,;-0.83,;0.33
2.99,;0.18,;2.26
0.47,;-0.82,;0.33
2.62,;0.67,;3.85
0.46,;-0.82,;0.33
2.99,;0.85,;3.30
0.46,;-0.83,;0.33
2.99,;1.16,;4.09
0.47,;-0.82,;0.33
3.05,;0.85,;3.42
0.47,;-0.82,;0.33
2.20,;0.55,;3.17
0.46,;-0.82,;0.33
2.32,;0.67,;2.93
0.46,;-0.82,;0.34
2.75,;0.85,;3.42
0.46,;-0.83,;0.33
3.42,;0.67,;3.48
0.47,;-0.82,;0.33
3.23,;0.98,;3.48
0.47,;-0.82,;0.33
3.11,;0.67,;3.11
0.46,;-0.83,;0.33
3.23,;0.73,;3.17
0.46,;-0.82,;0.33
3.36,;0.79,;3.60
0.47,;-0.83,;0.33
3.36,;1.04,;3.05
0.47,;-0.82,;0.33
3.17,;0.55,;3.78
0.46,;-0.82,;0.33
3.30,;0.31,;2.93
0.46,;-0.82,;0.33
3.30,;0.73,;3.17
0.46,;-0.82,;0.33
3.36,;0.73,;3.17
0.46,;-0.83,;0.33
2.93,;0.98,;3.17
0.46,;-0.82,;0.33
2.81,;0.43,;3.11
0.46,;-0.82,;0.33
2.99,;1.04,;2.62
0.47,;-0.82,;0.33
3.05,;1.28,;2.75
0.46,;-0.83,;0.33
2.93,;-0.24,;2.56
0.46,;-0.82,;0.34
2.87,;0.98,;3.05
0.46,;-0.82,;0.33
3.36,;0.49,;2.75
0.46,;-0.83,;0.33
2.93,;0.55,;2.75
0.46,;-0.82,;0.33
3.05,;1.10,;2.93
0.46,;-0.83,;0.33
3.42,;0.79,;2.50
0.46,;-0.83,;0.33
3.17,;0.85,;3.48
0.46,;-0.83,;0.34
3.17,;0.37,;4.03
0.46,;-0.82,;0.33
3.11,;1.59,;3.85
0.46,;-0.83,;0.33
2.69,;1.04,;3.17
0.46,;-0.82,;0.34
2.14,;1.28,;3.48
0.46,;-0.82,;0.33
2.93,;1.77,;2.81
0.46,;-0.82,;0.34
2.32,;1.53,;3.36
0.46,;-0.82,;0.33
3.11,;1.10,;3.11
0.46,;-0.82,;0.34
3.30,;0.55,;3.30
0.46,;-0.82,;0.33
3.48,;0.98,;3.78
0.46,;-0.82,;0.34
3.42,;0.31,;3.42
0.46,;-0.82,;0.34
2.87,;0.18,;3.54
0.46,;-0.82,;0.33
3.91,;0.67,;3.36
0.46,;-0.83,;0.33
3.30,;0.67,;3.17
0.46,;-0.82,;0.33
3.23,;0.49,;3.30
0.46,;-0.82,;0.33
3.36,;1.04,;3.42
0.46,;-0.82,;0.33
3.23,;0.98,;3.91
0.46,;-0.82,;0.33
3.72,;0.31,;3.66
0.46,;-0.83,;0.33
4.64,;1.53,;2.44
0.46,;-0.83,;0.33
4.82,;1.83,;4.52
0.45,;-0.83,;0.33
4.76,;-2.08,;5.98
0.48,;-0.80,;0.34
4.76,;0.49,;6.53
0.50,;-0.80,;0.32
4.09,;7.14,;0.98
0.43,;-0.86,;0.32
3.85,;-0.85,;-0.31
0.43,;-0.85,;0.34
2.38,;0.24,;5.55
0.48,;-0.81,;0.32
4.27,;2.81,;6.53
0.48,;-0.81,;0.33
6.77,;-0.79,;2.26
0.45,;-0.86,;0.32
3.72,;1.40,;0.37
0.47,;-0.82,;0.33
3.42,;4.39,;5.19
0.47,;-0.83,;0.33
4.52,;3.60,;6.04
0.47,;-0.83,;0.31
3.60,;5.98,;7.63
0.48,;-0.81,;0.31
2.99,;4.64,;7.39
0.47,;-0.82,;0.31
4.03,;4.70,;3.72
0.48,;-0.83,;0.30
2.08,;8.67,;0.85
0.48,;-0.83,;0.31
0.92,;1.95,;1.40
0.48,;-0.82,;0.31
1.34,;1.28,;2.50
0.47,;-0.82,;0.31
2.75,;1.65,;1.34
0.47,;-0.83,;0.31
3.42,;-0.61,;4.82
0.48,;-0.82,;0.31
2.75,;0.55,;5.49
0.48,;-0.81,;0.32
3.54,;1.46,;6.35
0.48,;-0.82,;0.31
2.99,;2.69,;3.60
0.50,;-0.81,;0.30
2.44,;4.46,;4.09
0.50,;-0.81,;0.31
0.98,;3.48,;0.18
0.47,;-0.82,;0.31
0.85,;4.76,;-1.83
0.47,;-0.83,;0.31
2.69,;2.32,;-0.55
0.46,;-0.83,;0.31
5.25,;-2.87,;3.91
0.48,;-0.82,;0.31
6.90,;-1.53,;3.60
0.48,;-0.82,;0.30
6.29,;-2.26,;2.87
0.47,;-0.83,;0.31
5.37,;-4.94,;4.03
0.48,;-0.82,;0.31
5.31,;-2.99,;4.39
0.48,;-0.81,;0.31
4.82,;-2.93,;2.01
0.48,;-0.81,;0.31
5.55,;-0.85,;2.32
0.47,;-0.81,;0.31
2.81,;-1.16,;2.14
0.46,;-0.84,;0.31
2.56,;2.01,;-0.98
0.46,;-0.84,;0.32
4.52,;-2.56,;1.71
0.45,;-0.87,;0.30
4.88,;-8.24,;4.70
0.45,;-0.78,;0.39
7.02,;-11.66,;3.66
0.51,;-0.95,;0.25
50.96,;-16.54,;0.31
0.31,;-1.05,;0.19
62.62,;-41.20,;-0.43
0.38,;-1.14,;0.00
86.12,;-23.68,;-13.85
0.32,;-1.01,;-0.05
111.94,;-39.92,;-4.94
0.27,;-0.68,;-0.08
160.28,;-45.17,;-2.01
0.31,;-0.73,;-0.23
225.95,;-19.90,;-11.41
0.29,;-1.15,;-0.26
106.99,;-28.44,;-23.25
0.56,;-0.79,;-0.48
-21.61,;4.03,;35.46
0.41,;-0.70,;-0.18
-100.59,;-26.55,;-8.30
0.35,;-0.70,;-0.04
-113.89,;-55.11,;-13.00
0.25,;-0.90,;0.18
-94.60,;-26.12,;-6.65
0.35,;-0.84,;0.05
-47.42,;15.14,;-46.45
0.28,;-1.03,;0.11
-3.36,;25.76,;-12.21
0.31,;-1.13,;0.16
-8.48,;-2.26,;-42.91
0.35,;-1.11,;-0.00
9.34,;4.46,;-40.95
0.20,;-0.90,;0.08
-27.28,;8.36,;-16.48
0.23,;-1.03,;0.09
-2.62,;-17.58,;-47.61
0.25,;-0.97,;0.23
-42.36,;-6.41,;-19.96
0.13,;-0.90,;0.33
-55.24,;-16.30,;-19.47
0.09,;-0.92,;0.29
-30.70,;-23.68,;-40.28
0.05,;-0.95,;0.40
2.14,;-34.12,;-0.79
-0.05,;-0.98,;0.20
18.55,;-37.35,;2.93
-0.00,;-0.97,;0.29
-23.25,;-5.55,;0.00
-0.01,;-0.91,;0.31
-12.02,;-25.63,;-20.45
-0.08,;-0.84,;0.25
-33.81,;-23.19,;18.43
0.16,;-1.11,;0.43
-39.06,;-10.31,;24.11
0.00,;-0.96,;0.28
-9.09,;-4.58,;6.29
0.00,;-0.96,;0.41
-2.38,;-16.48,;0.61
-0.03,;-0.94,;0.37
33.08,;-5.00,;12.15
-0.05,;-0.67,;0.24
-14.16,;20.69,;26.55
-0.02,;0.28,;-0.22
-40.59,;4.03,;25.70
0.19,;-0.89,;0.46
4.15,;12.82,;-3.78
0.08,;-0.92,;0.41
-7.57,;1.46,;3.05
0.09,;-0.91,;0.41
-10.62,;0.92,;3.23
0.09,;-0.90,;0.46
-15.56,;0.79,;3.30
0.09,;-0.89,;0.46
-15.08,;1.04,;3.30
0.09,;-0.88,;0.48
-13.31,;0.79,;3.05
0.09,;-0.88,;0.49
-11.66,;0.92,;3.17
0.09,;-0.87,;0.50
-14.65,;0.61,;3.36
0.09,;-0.86,;0.51
-21.24,;0.98,;3.23
0.09,;-0.84,;0.53
-31.80,;0.98,;3.17
0.09,;-0.82,;0.55
-50.72,;1.16,;3.05
0.08,;-0.77,;0.59
-81.91,;1.34,;2.81
0.08,;-0.68,;0.66
-126.16,;1.65,;2.44
0.09,;-0.52,;0.75
-175.11,;3.97,;2.87
0.09,;-0.34,;0.82
-220.15,;2.56,;2.32
0.03,;-0.47,;0.43
68.48,;-9.70,;4.88
0.05,;-0.47,;0.55
24.90,;0.85,;3.23
0.10,;-0.30,;0.91
6.59,;1.46,;3.11
0.09,;-0.27,;0.96
3.42,;0.85,;3.42
0.09,;-0.28,;0.96
2.93,;0.67,;3.11
0.09,;-0.28,;0.96
2.93,;0.67,;3.17
0.09,;-0.28,;0.96
2.81,;0.67,;3.17
0.09,;-0.28,;0.96
3.17,;0.79,;3.17
0.09,;-0.27,;0.96
3.17,;0.67,;2.99
0.09,;-0.28,;0.96
3.05,;0.73,;3.17
0.09,;-0.27,;0.96
3.11,;0.73,;3.11
0.09,;-0.27,;0.96
3.05,;0.67,;3.17
0.09,;-0.28,;0.96
3.17,;0.92,;3.11
0.09,;-0.27,;0.96
3.11,;0.79,;3.11
0.09,;-0.28,;0.96
3.17,;0.73,;3.30
0.09,;-0.27,;0.96
2.93,;0.79,;3.23
0.09,;-0.28,;0.96
3.17,;0.85,;3.17
0.09,;-0.27,;0.96
3.17,;0.79,;3.05
0.09,;-0.28,;0.96
3.11,;0.79,;3.30
0.09,;-0.28,;0.96
3.11,;0.85,;2.99
0.09,;-0.27,;0.96
3.11,;0.67,;3.11
0.09,;-0.28,;0.96
3.17,;0.73,;3.23
0.08,;-0.27,;0.96
3.17,;0.79,;3.17
0.09,;-0.28,;0.96
3.11,;0.85,;3.30
0.09,;-0.28,;0.96
3.30,;0.79,;3.17
0.09,;-0.28,;0.95
3.17,;0.92,;3.05
0.09,;-0.27,;0.96
3.17,;0.73,;3.42
0.09,;-0.28,;0.96
3.11,;0.85,;3.23
0.09,;-0.27,;0.96
3.17,;0.79,;3.17
0.09,;-0.28,;0.96
3.17,;0.85,;3.30
0.09,;-0.28,;0.96
2.99,;0.79,;3.05
0.09,;-0.27,;0.96
3.11,;0.79,;3.36
0.09,;-0.28,;0.96
3.23,;0.73,;3.17
0.09,;-0.28,;0.96
3.17,;0.73,;3.05
0.09,;-0.27,;0.96
2.93,;0.79,;3.36
0.09,;-0.28,;0.96
2.99,;0.67,;3.11
0.09,;-0.27,;0.96
3.23,;0.61,;3.23
0.09,;-0.28,;0.96
2.99,;0.73,;3.30
0.09,;-0.27,;0.96
2.93,;0.85,;3.17
0.09,;-0.27,;0.96
3.11,;0.67,;3.30
0.09,;-0.28,;0.96
2.99,;0.85,;3.42
0.09,;-0.27,;0.96
2.99,;0.85,;3.05
0.09,;-0.28,;0.96
3.11,;0.79,;3.23
0.09,;-0.27,;0.96
3.23,;0.67,;3.23
0.09,;-0.28,;0.95
3.05,;0.73,;3.23
0.09,;-0.28,;0.96
3.23,;0.73,;3.05
0.09,;-0.27,;0.96
3.17,;0.79,;3.05
0.09,;-0.28,;0.96
3.17,;0.67,;3.11
0.09,;-0.28,;0.96
3.11,;0.73,;3.11
0.09,;-0.27,;0.96
3.17,;0.73,;3.11
0.09,;-0.28,;0.96
3.23,;0.73,;3.23
0.09,;-0.27,;0.96
3.30,;0.73,;3.11
0.09,;-0.28,;0.95
3.11,;1.04,;3.30
0.09,;-0.27,;0.96
3.17,;0.79,;3.17
0.09,;-0.28,;0.96
3.05,;0.67,;3.11
0.09,;-0.27,;0.96
3.17,;0.73,;3.23
0.09,;-0.27,;0.96
3.11,;0.85,;3.11
0.09,;-0.28,;0.96
3.05,;0.73,;3.30
0.09,;-0.27,;0.96
3.05,;0.92,;3.17
0.09,;-0.28,;0.96
3.23,;0.85,;3.17
0.09,;-0.28,;0.96
3.17,;0.85,;3.17
0.09,;-0.28,;0.96
3.11,;0.73,;3.23
0.09,;-0.28,;0.96
2.75,;0.79,;3.11
0.09,;-0.27,;0.96
3.17,;0.85,;3.11
0.09,;-0.28,;0.96
3.11,;0.73,;3.17
0.09,;-0.28,;0.96
3.05,;0.73,;3.17
0.09,;-0.27,;0.96
3.05,;0.73,;3.30
0.09,;-0.28,;0.96
2.99,;0.73,;3.36
0.09,;-0.28,;0.96
3.17,;0.73,;3.23
0.09,;-0.28,;0.96
3.11,;0.61,;3.17
0.09,;-0.28,;0.96
3.11,;0.73,;3.17
0.09,;-0.28,;0.96
3.11,;0.79,;3.11
0.09,;-0.28,;0.96
3.23,;0.73,;3.23
0.09,;-0.28,;0.96
3.05,;0.79,;3.23
0.09,;-0.28,;0.96
3.30,;0.85,;3.17
0.09,;-0.28,;0.96
2.87,;0.67,;3.17
0.09,;-0.28,;0.96
3.11,;0.73,;3.11
0.09,;-0.28,;0.96
3.11,;0.85,;3.36
0.09,;-0.28,;0.96
3.05,;0.73,;3.30
0.09,;-0.28,;0.96
3.23,;0.73,;3.30
0.09,;-0.28,;0.96
2.93,;0.92,;2.99
0.09,;-0.27,;0.96
3.05,;0.67,;3.36
0.09,;-0.28,;0.96
3.17,;0.67,;3.30
0.09,;-0.28,;0.96
3.17,;0.92,;3.23
0.09,;-0.28,;0.96
3.11,;0.85,;3.30
0.09,;-0.28,;0.95
3.17,;0.79,;3.17
0.09,;-0.28,;0.96
3.05,;0.73,;3.17
0.09,;-0.28,;0.96
3.05,;0.92,;3.11
0.09,;-0.27,;0.96
3.23,;0.73,;2.93
0.09,;-0.28,;0.96
3.05,;0.85,;3.17
0.09,;-0.27,;0.96
3.11,;0.85,;3.11
0.09,;-0.28,;0.96
2.99,;0.85,;3.23
0.09,;-0.27,;0.96
3.05,;0.85,;3.17
0.09,;-0.28,;0.96
3.05,;0.79,;3.11
0.09,;-0.28,;0.96
3.05,;0.79,;3.23
0.09,;-0.28,;0.96
2.99,;0.85,;3.17
0.09,;-0.28,;0.96
3.05,;0.79,;3.36
0.09,;-0.28,;0.96
3.23,;0.85,;3.36
0.09,;-0.28,;0.96
3.23,;0.79,;3.23
0.09,;-0.28,;0.96
2.93,;0.73,;3.17
0.09,;-0.28,;0.96
3.05,;0.79,;3.11
0.09,;-0.28,;0.96
3.30,;0.79,;3.23
0.09,;-0.28,;0.96
3.11,;0.85,;3.23
0.09,;-0.27,;0.96
3.11,;0.85,;3.17
0.09,;-0.28,;0.96
3.30,;0.67,;3.23
0.09,;-0.28,;0.96
2.93,;0.92,;3.11
0.09,;-0.27,;0.96
3.11,;0.73,;3.17
0.09,;-0.28,;0.96
3.05,;0.85,;3.11
0.09,;-0.28,;0.96
3.05,;0.79,;3.23
0.09,;-0.27,;0.96
3.05,;0.79,;3.23
0.09,;-0.28,;0.96
3.05,;0.85,;3.30
0.09,;-0.28,;0.96
3.17,;0.92,;3.30
0.09,;-0.28,;0.96
3.11,;0.85,;3.17
0.09,;-0.27,;0.96
3.05,;0.79,;3.23
0.09,;-0.28,;0.96
3.11,;0.67,;3.30
0.09,;-0.28,;0.96
3.23,;0.61,;3.17
0.09,;-0.28,;0.96
2.99,;0.79,;3.11
0.09,;-0.28,;0.96
3.17,;0.73,;3.17
0.09,;-0.27,;0.96
3.17,;0.73,;3.23
0.09,;-0.28,;0.96
3.11,;0.73,;3.17
0.09,;-0.28,;0.96
3.05,;0.85,;3.30
0.09,;-0.28,;0.96
3.17,;0.67,;3.30
0.09,;-0.28,;0.96
3.30,;0.73,;3.30
0.09,;-0.28,;0.96
3.30,;0.73,;3.23
0.09,;-0.28,;0.96
3.30,;0.67,;3.23
0.09,;-0.28,;0.96
3.42,;0.73,;3.11
0.09,;-0.28,;0.96
3.05,;0.79,;3.23
0.09,;-0.28,;0.96
3.17,;0.92,;3.23
0.09,;-0.27,;0.96
3.30,;0.79,;3.23
0.09,;-0.28,;0.96
3.36,;0.85,;3.23
0.09,;-0.28,;0.96
3.23,;0.73,;3.23
0.09,;-0.28,;0.96
3.11,;0.85,;3.30
0.09,;-0.28,;0.96
3.11,;0.79,;3.48
0.09,;-0.27,;0.96
3.23,;0.79,;3.23
0.09,;-0.28,;0.96
3.30,;0.79,;3.30
0.09,;-0.28,;0.96
3.17,;0.79,;3.23
0.09,;-0.28,;0.96
3.11,;0.73,;3.17
0.09,;-0.28,;0.96
2.93,;0.79,;3.11
0.09,;-0.28,;0.96
3.23,;0.92,;2.99
0.09,;-0.27,;0.96
3.17,;0.73,;3.17
0.09,;-0.28,;0.96
3.30,;0.85,;3.30
0.09,;-0.28,;0.96
